Passages,Reading Day,Week,Start Date,End Date,Year
Genesis 1-2; Psalm 19; Mark 1,1,1,1-Jan-2020,4-Jan-2020,2020
Gen 3-5; Mark 2,2,1,1-Jan-2020,4-Jan-2020,
Gen 6-8; Psalm 104; Mark 3,3,1,1-Jan-2020,4-Jan-2020,
Gen 9-11; Mark 4,4,1,1-Jan-2020,4-Jan-2020,
Gen 12-15; Psalm 148; Mark 5,5,1,1-Jan-2020,4-Jan-2020,
Genesis 16-18; Mark 6,6,2,5-Jan-2020,11-Jan-2020,
Gen 19-20; Psalm 1; Mark 7,7,2,5-Jan-2020,11-Jan-2020,
Gen 21-23; Psalm 107; Mark 8,8,2,5-Jan-2020,11-Jan-2020,
Gen 24-25; Psalm 4; Mark 9,9,2,5-Jan-2020,11-Jan-2020,
Gen 26-27; Mark 10,10,2,5-Jan-2020,11-Jan-2020,
Genesis 28-29; Mark 11,11,3,12-Jan-2020,18-Jan-2020,
Gen 30-31; Psalm 11; Mark 12,12,3,12-Jan-2020,18-Jan-2020,
Gen 32-34; Psalm 145; Mark 13,13,3,12-Jan-2020,18-Jan-2020,
Gen 35-37; Psalm 12; Mark 14;,14,3,12-Jan-2020,18-Jan-2020,
Gen 38-40; Mark 15,15,3,12-Jan-2020,18-Jan-2020,
Genesis 41-42; Mark 16,16,4,19-Jan-2020,25-Jan-2020,
Gen 43-44; Psalm 24; Galatians 1,17,4,19-Jan-2020,25-Jan-2020,
Gen 45-46; Psalm 108; Gal 2,18,4,19-Jan-2020,25-Jan-2020,
Gen 47-48; Psalm 25; Gal 3,19,4,19-Jan-2020,25-Jan-2020,
Gen 49-50; Gal 4,20,4,19-Jan-2020,25-Jan-2020,
Exodus 1-3; Gal 5,21,5,26-Jan-2020,1-Feb-2020,
Exodus 4-6; Gal 6,22,5,26-Jan-2020,1-Feb-2020,
Exodus 7-9; Psalm 105; Ephesians 1,23,5,26-Jan-2020,1-Feb-2020,
Exodus 10-12; Eph 2,24,5,26-Jan-2020,1-Feb-2020,
Exodus 13-15; Psalm 114; Eph 3,25,5,26-Jan-2020,1-Feb-2020,
Exodus 16-18; Eph 4,26,6,2-Feb-2020,8-Feb-2020,
Exodus 19-21; Psalm 33; Eph 5,27,6,2-Feb-2020,8-Feb-2020,
Exodus 22-24; Psalm 109; Eph 6,28,6,2-Feb-2020,8-Feb-2020,
Exodus 25-27; Psalm 90; Philippians 1,29,6,2-Feb-2020,8-Feb-2020,
Exodus 28-31; Phil 2,30,6,2-Feb-2020,8-Feb-2020,
Exodus 32-34; Philippians 3,31,7,9-Feb-2020,15-Feb-2020,
Exodus 35-37; Psalm 26; Phil 4,32,7,9-Feb-2020,15-Feb-2020,
Exodus 38-40; Hebrews 1,33,7,9-Feb-2020,15-Feb-2020,
Leviticus 1-3; Psalm 27; Heb 2,34,7,9-Feb-2020,15-Feb-2020,
Lev 4-7; Heb 3,35,7,9-Feb-2020,15-Feb-2020,
Leviticus 8-11; Ps 110; Hebrews 4,36,8,16-Feb-2020,22-Feb-2020,
Lev 12-14; Psalm 111; Heb 5,37,8,16-Feb-2020,22-Feb-2020,
Lev 15-18; Psalm 31; Heb 6,38,8,16-Feb-2020,22-Feb-2020,
Lev 19-20; Heb 7,39,8,16-Feb-2020,22-Feb-2020,
Lev 21-23; Heb 8,40,8,16-Feb-2020,22-Feb-2020,
Leviticus 24-25; Psalm 81; Hebrews 9,41,9,23-Feb-2020,29-Feb-2020,
Lev 26-27; Psalm 112; Heb 10,42,9,23-Feb-2020,29-Feb-2020,
Numbers 1-2; Psalm 64; Heb 11,43,9,23-Feb-2020,29-Feb-2020,
Num 3-5; Heb 12,44,9,23-Feb-2020,29-Feb-2020,
Num 6-7; Heb 13,45,9,23-Feb-2020,29-Feb-2020,
